Team,player name,first name,second name,Salary,Position
Texas Rangers, Mike Lamb, Mike,Lamb,440000.00,Third Baseman
Texas Rangers, Colby Lewis, Colby,Lewis,302500.00,Pitcher
Texas Rangers, Kevin Mench, Kevin,Mench,327500.00,Outfielder
Texas Rangers, CJ Nitkowski, CJ,Nitkowski,550000.00,Pitcher
Texas Rangers, Rafael Palmeiro, Rafael,Palmeiro,9000000.00,First Baseman
Texas Rangers, Chan Ho Park, Chan Ho,Park,13000000.00,Pitcher
Texas Rangers, Herbert Perry, Herbert,Perry,1300000.00,Third Baseman
Texas Rangers, Jay Powell, Jay,Powell,3250000.00,Pitcher
Texas Rangers, Alex Rodriguez, Alex,Rodriguez,22000000.00,Shortstop
Texas Rangers, Ruben Sierra, Ruben,Sierra,600000.00,Outfielder
Texas Rangers, Mark Teixeira, Mark,Teixeira,750000.00,Third Baseman
Texas Rangers, John Thomson, John,Thomson,1300000.00,Pitcher
Texas Rangers, Ugueth Urbina, Ugueth,Urbina,4500000.00,Pitcher
Texas Rangers, Ismael Valdes, Ismael,Valdes,2500000.00,Pitcher
Texas Rangers, Todd Van Poppel, Todd,Van Poppel,2500000.00,Pitcher
Texas Rangers, Esteban Yan, Esteban,Yan,1500000.00,Pitcher
Texas Rangers, Mike B Young, Mike B,Young,415000.00,Shortstop
Texas Rangers, Jeff Zimmerman, Jeff,Zimmerman,3366667.00,Pitcher
